time_s,sequence,interval_ms,status,status_code,distance_cm
3.138338417,0,20.0,Ok,0x0,16.0
3.158260042,1,20.0,Ok,0x0,13.0
3.1782893750000003,2,20.0,Ok,0x0,15.0
3.198290042,3,20.0,Ok,0x0,16.0
3.2182795840000002,4,20.0,Ok,0x0,16.0
3.2382454999999997,5,20.0,Ok,0x0,14.0
3.2582446249999997,6,20.0,Ok,0x0,14.0
3.2783180840000004,7,20.0,Ok,0x0,16.0
3.298311334,8,20.0,Ok,0x0,16.0
3.318252375,9,20.0,Ok,0x0,16.0
3.338288542,10,20.0,Ok,0x0,15.0
3.3583754169999995,11,20.0,Ok,0x0,13.0
3.3783169170000003,12,20.0,Ok,0x0,16.0
3.3984335420000003,13,20.0,Ok,0x0,19.0
3.418586459,14,20.0,Ok,0x0,16.0
3.438664792,15,20.0,Ok,0x0,16.0
3.4590130419999996,16,20.0,Ok,0x0,20.0
3.4788074169999996,17,20.0,Ok,0x0,20.0
3.4990245,18,20.0,Ok,0x0,30.0
3.5188391670000003,19,20.0,Ok,0x0,35.0
3.5429632499999997,20,20.0,Ok,0x0,36.0
3.5586937919999997,21,20.0,Ok,0x0,32.0
3.578914459,22,20.0,Ok,0x0,31.0
3.5992747090000003,23,20.0,Ok,0x0,29.0
3.6190117089999996,24,20.0,Ok,0x0,35.0
3.6388216250000003,25,20.0,Ok,0x0,27.0
3.6588107919999997,26,20.0,Ok,0x0,30.0
3.6809425840000003,27,20.0,Ok,0x0,35.0
3.6986744170000003,28,20.0,Ok,0x0,37.0
3.7185806249999995,29,20.0,Ok,0x0,38.0
3.7390036669999995,30,20.0,Ok,0x0,39.0
3.758924834,31,20.0,Ok,0x0,41.0
3.7789252500000003,32,20.0,Ok,0x0,42.0
3.7989176669999996,33,20.0,Ok,0x0,46.0
3.8189146249999997,34,20.0,Ok,0x0,39.0
3.8389314169999995,35,20.0,Ok,0x0,35.0
3.858950375,36,20.0,Ok,0x0,33.0
3.8789187499999995,37,20.0,Ok,0x0,31.0
3.8989867919999996,38,20.0,Ok,0x0,36.0
3.9187860839999997,39,20.0,Ok,0x0,32.0
3.939375417,40,20.0,Ok,0x0,32.0
3.9591249590000004,41,20.0,Ok,0x0,35.0
3.9789807919999998,42,20.0,Ok,0x0,26.0
3.9988793339999997,43,20.0,Ok,0x0,15.0
4.018897625,44,20.0,Ok,0x0,18.0
4.03901825,45,20.0,Ok,0x0,18.0
4.058640875,46,20.0,Ok,0x0,24.0
4.078553167,47,20.0,Ok,0x0,27.0
4.098386292,48,20.0,Ok,0x0,25.0
4.118337375,49,20.0,Ok,0x0,30.0
