time_s,sequence,interval_ms,status,status_code,distance_cm
331.26599999994505,16391,20.0,Ok,0x0,63.0
331.280999999959,16392,20.0,Ok,0x0,63.0
331.2970000000205,16393,20.0,Ok,0x0,63.0
331.3279999999795,16394,20.0,Ok,0x0,64.0
331.344000000041,16395,20.0,Ok,0x0,62.0
331.35999999998603,16396,20.0,Ok,0x0,57.0
331.375,16397,20.0,Ok,0x0,67.0
331.405999999959,16398,20.0,Ok,0x0,66.0
331.4220000000205,16399,20.0,Ok,0x0,63.0
331.43799999996554,16400,20.0,Ok,0x0,60.0
331.4529999999795,16401,20.0,Ok,0x0,63.0
331.48499999998603,16402,20.0,Ok,0x0,61.0
331.5,16403,20.0,Ok,0x0,67.0
331.51599999994505,16404,20.0,Ok,0x0,66.0
331.530999999959,16405,20.0,Ok,0x0,64.0
331.56299999996554,16406,20.0,Ok,0x0,67.0
331.5779999999795,16407,20.0,Ok,0x0,69.0
331.594000000041,16408,20.0,Ok,0x0,67.0
331.625,16409,20.0,Ok,0x0,64.0
331.64099999994505,16410,20.0,Ok,0x0,68.0
331.655999999959,16411,20.0,Ok,0x0,62.0
331.6720000000205,16412,20.0,Ok,0x0,68.0
331.7029999999795,16413,20.0,Ok,0x0,68.0
331.719000000041,16414,20.0,Ok,0x0,64.0
331.73499999998603,16415,20.0,Ok,0x0,63.0
331.76599999994505,16416,20.0,Ok,0x0,56.0
331.780999999959,16417,20.0,Ok,0x0,65.0
331.7970000000205,16418,20.0,Ok,0x0,59.0
331.8279999999795,16419,20.0,Ok,0x0,61.0
331.8279999999795,16420,20.0,Ok,0x0,69.0
331.85999999998603,16421,20.0,Ok,0x0,68.0
331.875,16422,20.0,Ok,0x0,68.0
331.89099999994505,16423,20.0,Ok,0x0,64.0
331.9220000000205,16424,20.0,Ok,0x0,70.0
331.93799999996554,16425,20.0,Ok,0x0,71.0
331.9529999999795,16426,20.0,Ok,0x0,72.0
