time_s,sequence,interval_ms,status,status_code,distance_cm
583.530999999959,29006,20.0,Ok,0x0,66.0
583.545999999973,29007,20.0,Ok,0x0,73.0
583.5779999999795,29008,20.0,Ok,0x0,64.0
583.5929999999935,29009,20.0,Ok,0x0,62.0
583.609000000055,29010,20.0,Ok,0x0,59.0
583.625,29011,20.0,Ok,0x0,57.0
583.655999999959,29012,20.0,Ok,0x0,56.0
583.670999999973,29013,20.0,Ok,0x0,66.0
583.6870000000345,29014,20.0,Ok,0x0,64.0
583.7179999999935,29015,20.0,Ok,0x0,66.0
583.734000000055,29016,20.0,Ok,0x0,59.0
583.75,29017,20.0,Ok,0x0,54.0
583.765000000014,29018,20.0,Ok,0x0,44.0
583.795999999973,29019,20.0,Ok,0x0,50.0
583.8120000000345,29020,20.0,Ok,0x0,28.0
583.8279999999795,29021,20.0,Ok,0x0,33.0
583.8429999999935,29022,20.0,Ok,0x0,28.0
583.875,29023,20.0,Ok,0x0,18.0
583.890000000014,29024,20.0,Ok,0x0,18.0
583.905999999959,29025,20.0,Ok,0x0,11.0
583.9370000000345,29026,20.0,Ok,0x0,11.0
583.9529999999795,29027,20.0,Ok,0x0,15.0
583.9679999999935,29028,20.0,Ok,0x0,16.0
583.984000000055,29029,20.0,Ok,0x0,24.0
584.015000000014,29030,20.0,Ok,0x0,32.0
584.030999999959,29031,20.0,Ok,0x0,39.0
584.045999999973,29032,20.0,Ok,0x0,44.0
584.0779999999795,29033,20.0,Ok,0x0,54.0
584.0929999999935,29034,20.0,Ok,0x0,55.0
584.109000000055,29035,20.0,Ok,0x0,59.0
584.125,29036,20.0,Ok,0x0,64.0
584.155999999959,29037,20.0,Ok,0x0,63.0
584.170999999973,29038,20.0,Ok,0x0,59.0
584.1870000000345,29039,20.0,Ok,0x0,52.0
584.2179999999935,29040,20.0,Ok,0x0,49.0
584.234000000055,29041,20.0,Ok,0x0,43.0
584.25,29042,20.0,Ok,0x0,36.0
584.265000000014,29043,20.0,Ok,0x0,24.0
584.295999999973,29044,20.0,Ok,0x0,16.0
584.3120000000345,29045,20.0,Ok,0x0,8.0
584.3279999999795,29046,20.0,Ok,0x0,10.0
584.359000000055,29047,20.0,Ok,0x0,12.0
584.375,29048,20.0,Ok,0x0,15.0
584.390000000014,29049,20.0,Ok,0x0,24.0
584.405999999959,29050,20.0,Ok,0x0,29.0
584.4370000000345,29051,20.0,Ok,0x0,38.0
584.4529999999795,29052,20.0,Ok,0x0,44.0
584.4679999999935,29053,20.0,Ok,0x0,51.0
584.484000000055,29054,20.0,Ok,0x0,57.0
584.515000000014,29055,20.0,Ok,0x0,53.0
584.530999999959,29056,20.0,Ok,0x0,54.0
584.545999999973,29057,20.0,Ok,0x0,53.0
584.5779999999795,29058,20.0,Ok,0x0,51.0
584.5929999999935,29059,20.0,Ok,0x0,40.0
584.609000000055,29060,20.0,Ok,0x0,36.0
584.625,29061,20.0,Ok,0x0,24.0
584.655999999959,29062,20.0,Ok,0x0,14.0
584.670999999973,29063,20.0,Ok,0x0,10.0
584.6870000000345,29064,20.0,Ok,0x0,10.0
584.7179999999935,29065,20.0,Ok,0x0,13.0
584.734000000055,29066,20.0,Ok,0x0,14.0
584.75,29067,20.0,Ok,0x0,23.0
584.765000000014,29068,20.0,Ok,0x0,31.0
584.795999999973,29069,20.0,Ok,0x0,34.0
584.8120000000345,29070,20.0,Ok,0x0,48.0
584.8279999999795,29071,20.0,Ok,0x0,53.0
584.859000000055,29072,20.0,Ok,0x0,54.0
584.875,29073,20.0,Ok,0x0,50.0
584.890000000014,29074,20.0,Ok,0x0,49.0
584.905999999959,29075,20.0,Ok,0x0,53.0
584.9370000000345,29076,20.0,Ok,0x0,51.0
584.9529999999795,29077,20.0,Ok,0x0,47.0
584.9679999999935,29078,20.0,Ok,0x0,40.0
585.0,29079,20.0,Ok,0x0,31.0
585.015000000014,29080,20.0,Ok,0x0,18.0
585.030999999959,29081,20.0,Ok,0x0,14.0
585.045999999973,29082,20.0,Ok,0x0,6.0
585.0779999999795,29083,20.0,Ok,0x0,10.0
585.0929999999935,29084,20.0,Ok,0x0,14.0
585.109000000055,29085,20.0,Ok,0x0,16.0
585.125,29086,20.0,Ok,0x0,24.0
585.155999999959,29087,20.0,Ok,0x0,28.0
585.170999999973,29088,20.0,Ok,0x0,38.0
585.1870000000345,29089,20.0,Ok,0x0,47.0
585.2179999999935,29090,20.0,Ok,0x0,46.0
585.234000000055,29091,20.0,Ok,0x0,49.0
