time_s,sequence,interval_ms,status,status_code,distance_cm
227.125,11184,20.0,Ok,0x0,70.0
227.14099999994505,11185,20.0,Ok,0x0,68.0
227.15599999995902,11186,20.0,Ok,0x0,70.0
227.18799999996554,11187,20.0,Ok,0x0,71.0
227.2029999999795,11188,20.0,Ok,0x0,68.0
227.21900000004098,11189,20.0,Ok,0x0,70.0
227.23499999998603,11190,20.0,Ok,0x0,71.0
227.26599999994505,11191,20.0,Ok,0x0,72.0
227.28099999995902,11192,20.0,Ok,0x0,67.0
227.2970000000205,11193,20.0,Ok,0x0,72.0
227.31299999996554,11194,20.0,Ok,0x0,73.0
227.34400000004098,11195,20.0,Ok,0x0,68.0
227.35999999998603,11196,20.0,Ok,0x0,69.0
227.39099999994505,11197,20.0,Ok,0x0,71.0
227.40599999995902,11198,20.0,Ok,0x0,77.0
227.4220000000205,11199,20.0,Ok,0x0,72.0
227.43799999996554,11200,20.0,Ok,0x0,77.0
227.46900000004098,11201,20.0,Ok,0x0,77.0
227.48499999998603,11202,20.0,Ok,0x0,82.0
227.5,11203,20.0,Ok,0x0,81.0
227.51599999994505,11204,20.0,Ok,0x0,83.0
227.5470000000205,11205,20.0,Ok,0x0,89.0
227.56299999996554,11206,20.0,Ok,0x0,91.0
227.5779999999795,11207,20.0,Ok,0x0,92.0
227.60999999998603,11208,20.0,Ok,0x0,95.0
227.625,11209,20.0,Ok,0x0,89.0
227.64099999994505,11210,20.0,Ok,0x0,95.0
227.65599999995902,11211,20.0,Ok,0x0,99.0
227.68799999996554,11212,20.0,Ok,0x0,99.0
227.7029999999795,11213,20.0,Ok,0x0,103.0
227.71900000004098,11214,20.0,Ok,0x0,106.0
227.75,11215,20.0,Ok,0x0,111.0
227.76599999994505,11216,20.0,Ok,0x0,117.0
227.78099999995902,11217,20.0,Ok,0x0,114.0
227.7970000000205,11218,20.0,Ok,0x0,121.0
227.8279999999795,11219,20.0,Ok,0x0,125.0
227.84400000004098,11220,20.0,Ok,0x0,128.0
227.85999999998603,11221,20.0,Ok,0x0,125.0
227.89099999994505,11222,20.0,Ok,0x0,127.0
227.90599999995902,11223,20.0,Ok,0x0,133.0
227.9220000000205,11224,20.0,Ok,0x0,137.0
227.93799999996554,11225,20.0,Ok,0x0,142.0
227.96900000004098,11226,20.0,Ok,0x0,145.0
227.98499999998603,11227,20.0,Ok,0x0,147.0
228.0,11228,20.0,Ok,0x0,143.0
228.01599999994505,11229,20.0,Ok,0x0,148.0
228.0470000000205,11230,20.0,Ok,0x0,154.0
228.06299999996554,11231,20.0,Ok,0x0,146.0
228.0779999999795,11232,20.0,Ok,0x0,151.0
228.10999999998603,11233,20.0,Ok,0x0,147.0
228.125,11234,20.0,Ok,0x0,153.0
228.14099999994505,11235,20.0,Ok,0x0,156.0
228.15599999995902,11236,20.0,Ok,0x0,159.0
228.18799999996554,11237,20.0,Ok,0x0,160.0
228.2029999999795,11238,20.0,Ok,0x0,157.0
228.21900000004098,11239,20.0,Ok,0x0,160.0
228.25,11240,20.0,Ok,0x0,152.0
228.26599999994505,11241,20.0,Ok,0x0,159.0
228.28099999995902,11242,20.0,Ok,0x0,160.0
228.2970000000205,11243,20.0,Ok,0x0,157.0
228.3279999999795,11244,20.0,Ok,0x0,163.0
228.34400000004098,11245,20.0,Ok,0x0,150.0
228.35999999998603,11246,20.0,Ok,0x0,162.0
228.39099999994505,11247,20.0,Ok,0x0,164.0
228.40599999995902,11248,20.0,Ok,0x0,173.0
228.4220000000205,11249,20.0,Ok,0x0,174.0
228.43799999996554,11250,20.0,Ok,0x0,177.0
228.46900000004098,11251,20.0,Ok,0x0,164.0
228.48499999998603,11252,20.0,Ok,0x0,150.0
228.5,11253,20.0,Ok,0x0,164.0
228.51599999994505,11254,20.0,Ok,0x0,174.0
228.5470000000205,11255,20.0,Ok,0x0,170.0
228.56299999996554,11256,20.0,Ok,0x0,167.0
228.5779999999795,11257,20.0,Ok,0x0,165.0
228.60999999998603,11258,20.0,Ok,0x0,161.0
228.625,11259,20.0,Ok,0x0,154.0
228.64099999994505,11260,20.0,Ok,0x0,151.0
228.65599999995902,11261,20.0,Ok,0x0,160.0
228.68799999996554,11262,20.0,Ok,0x0,160.0
228.7029999999795,11263,20.0,Ok,0x0,156.0
228.71900000004098,11264,20.0,Ok,0x0,157.0
228.75,11265,20.0,Ok,0x0,159.0
228.76599999994505,11266,20.0,Ok,0x0,155.0
