distance_cm,timestamp_ms
101.0,1785094059718.0413
97.0,1785094059737.2183
96.0,1785094059761.3362
97.0,1785094059777.681
97.0,1785094059801.651
99.0,1785094059817.9531
106.0,1785094059837.149
104.0,1785094059858.311
104.0,1785094059877.455
107.0,1785094059901.269
108.0,1785094059917.742
109.0,1785094059941.611
107.0,1785094059958.0413
121.0,1785094059977.354
115.0,1785094060001.261
114.0,1785094060017.948
125.0,1785094060037.101
120.0,1785094060061.217
121.0,1785094060077.813
126.0,1785094060101.866
126.0,1785094060118.2751
129.0,1785094060137.3582
132.0,1785094060161.4778
127.0,1785094060178.245
128.0,1785094060197.3389
133.0,1785094060221.3618
132.0,1785094060238.0723
134.0,1785094060257.2998
134.0,1785094060281.28
129.0,1785094060298.0107
138.0,1785094060317.184
135.0,1785094060341.289
133.0,1785094060357.7048
152.0,1785094060381.7432
154.0,1785094060398.273
145.0,1785094060417.336
145.0,1785094060438.517
153.0,1785094060457.799
167.0,1785094060481.591
179.0,1785094060498.044
188.0,1785094060517.4248
186.0,1785094060538.351
188.0,1785094060557.593
188.0,1785094060581.456
189.0,1785094060597.706
187.0,1785094060621.4568
185.0,1785094060637.674
183.0,1785094060661.59
182.0,1785094060677.761
190.0,1785094060701.594
183.0,1785094060717.761
183.0,1785094060741.569
177.0,1785094060757.971
175.0,1785094060781.7942
174.0,1785094060797.849
176.0,1785094060821.607
174.0,1785094060837.885
175.0,1785094060861.656
171.0,1785094060877.6782
170.0,1785094060901.6829
173.0,1785094060917.6582
172.0,1785094060941.3682
169.0,1785094060957.557
167.0,1785094060981.355
166.0,1785094060997.531
166.0,1785094061021.379
164.0,1785094061037.516
162.0,1785094061061.398
169.0,1785094061077.552
181.0,1785094061101.312
113.0,1785094061117.5308
114.0,1785094061141.336
178.0,1785094061157.541
154.0,1785094061181.459
131.0,1785094061197.7751
123.0,1785094061221.559
142.0,1785094061237.7788
130.0,1785094061261.66
106.0,1785094061278.189
131.0,1785094061297.407
110.0,1785094061321.316
109.0,1785094061337.9463
105.0,1785094061357.1628
106.0,1785094061378.3848
99.0,1785094061397.541
99.0,1785094061421.7751
94.0,1785094061438.102
90.0,1785094061457.288
87.0,1785094061481.2988
83.0,1785094061497.944
78.0,1785094061517.117
77.0,1785094061541.191
75.0,1785094061557.7349
73.0,1785094061581.6052
67.0,1785094061598.1272
69.0,1785094061617.53
60.0,1785094061641.3218
57.0,1785094061658.0742
54.0,1785094061677.264
50.0,1785094061701.255
50.0,1785094061718.005
47.0,1785094061737.3728
47.0,1785094061758.538
44.0,1785094061777.672
43.0,1785094061801.25
39.0,1785094061817.6892
39.0,1785094061841.717
44.0,1785094061857.884
44.0,1785094061881.8262
39.0,1785094061898.224
46.0,1785094061917.466
42.0,1785094061941.252
42.0,1785094061957.7
39.0,1785094061981.648
34.0,1785094061998.125
35.0,1785094062017.254
44.0,1785094062038.593
48.0,1785094062057.518
52.0,1785094062078.593
56.0,1785094062097.919
49.0,1785094062121.495
53.0,1785094062137.954
