time_s,sequence,interval_ms,status,status_code,distance_cm
768.4679999999935,38253,20.0,Ok,0x0,31.0
768.484000000055,38254,20.0,Ok,0x0,28.0
768.515000000014,38255,20.0,Ok,0x0,31.0
768.530999999959,38256,20.0,Ok,0x0,31.0
768.545999999973,38257,20.0,Ok,0x0,31.0
768.5620000000345,38258,20.0,Ok,0x0,31.0
768.5929999999935,38259,20.0,Ok,0x0,31.0
768.609000000055,38260,20.0,Ok,0x0,24.0
768.625,38261,20.0,Ok,0x0,24.0
768.655999999959,38262,20.0,Ok,0x0,31.0
768.670999999973,38263,20.0,Ok,0x0,29.0
768.6870000000345,38264,20.0,Ok,0x0,24.0
768.7029999999795,38265,20.0,Ok,0x0,26.0
768.734000000055,38266,20.0,Ok,0x0,30.0
768.75,38267,20.0,Ok,0x0,28.0
768.765000000014,38268,20.0,Ok,0x0,27.0
768.795999999973,38269,20.0,Ok,0x0,26.0
768.8120000000345,38270,20.0,Ok,0x0,25.0
768.8279999999795,38271,20.0,Ok,0x0,25.0
768.8429999999935,38272,20.0,Ok,0x0,34.0
768.875,38273,20.0,Ok,0x0,32.0
768.890000000014,38274,20.0,Ok,0x0,30.0
768.905999999959,38275,20.0,Ok,0x0,35.0
768.9370000000345,38276,20.0,Ok,0x0,33.0
768.9529999999795,38277,20.0,Ok,0x0,23.0
768.9679999999935,38278,20.0,Ok,0x0,17.0
768.984000000055,38279,20.0,Ok,0x0,23.0
769.015000000014,38280,20.0,Ok,0x0,17.0
769.030999999959,38281,20.0,Ok,0x0,30.0
769.045999999973,38282,20.0,Ok,0x0,100.0
769.0779999999795,38283,20.0,Ok,0x0,78.0
769.0929999999935,38284,20.0,Ok,0x0,75.0
769.109000000055,38285,20.0,Ok,0x0,78.0
769.125,38286,20.0,Ok,0x0,85.0
769.155999999959,38287,20.0,Ok,0x0,90.0
769.170999999973,38288,20.0,Ok,0x0,83.0
769.1870000000345,38289,20.0,Ok,0x0,81.0
769.2029999999795,38290,20.0,Ok,0x0,80.0
769.234000000055,38291,20.0,Ok,0x0,85.0
769.25,38292,20.0,Ok,0x0,92.0
769.265000000014,38293,20.0,Ok,0x0,114.0
769.295999999973,38294,20.0,Ok,0x0,64.0
769.3120000000345,38295,20.0,Ok,0x0,79.0
769.3279999999795,38296,20.0,Ok,0x0,83.0
769.3429999999935,38297,20.0,Ok,0x0,90.0
769.375,38298,20.0,Ok,0x0,69.0
769.390000000014,38299,20.0,Ok,0x0,75.0
769.405999999959,38300,20.0,Ok,0x0,72.0
769.420999999973,38301,20.0,Ok,0x0,63.0
769.4529999999795,38302,20.0,Ok,0x0,65.0
769.4679999999935,38303,20.0,Ok,0x0,62.0
769.484000000055,38304,20.0,Ok,0x0,38.0
769.5,38305,20.0,Ok,0x0,48.0
769.530999999959,38306,20.0,Ok,0x0,31.0
769.545999999973,38307,20.0,Ok,0x0,39.0
769.5620000000345,38308,20.0,Ok,0x0,26.0
769.5929999999935,38309,20.0,Ok,0x0,19.0
769.609000000055,38310,20.0,Ok,0x0,20.0
769.625,38311,20.0,Ok,0x0,16.0
769.640000000014,38312,20.0,Ok,0x0,25.0
769.655999999959,38313,20.0,Ok,0x0,34.0
769.6870000000345,38314,20.0,Ok,0x0,32.0
769.7029999999795,38315,20.0,Ok,0x0,42.0
769.7179999999935,38316,20.0,Ok,0x0,51.0
769.75,38317,20.0,Ok,0x0,51.0
769.765000000014,38318,20.0,Ok,0x0,58.0
769.795999999973,38319,20.0,Ok,0x0,62.0
769.8120000000345,38320,20.0,Ok,0x0,99.0
769.8279999999795,38321,20.0,Ok,0x0,88.0
769.8429999999935,38322,20.0,Ok,0x0,84.0
769.859000000055,38323,20.0,Ok,0x0,105.0
769.890000000014,38324,20.0,Ok,0x0,106.0
769.905999999959,38325,20.0,Ok,0x0,84.0
769.920999999973,38326,20.0,Ok,0x0,84.0
769.9529999999795,38327,20.0,Ok,0x0,78.0
769.9679999999935,38328,20.0,Ok,0x0,81.0
769.984000000055,38329,20.0,Ok,0x0,57.0
770.015000000014,38330,20.0,Ok,0x0,77.0
770.030999999959,38331,20.0,Ok,0x0,78.0
770.045999999973,38332,20.0,Ok,0x0,75.0
770.0620000000345,38333,20.0,Ok,0x0,69.0
770.0929999999935,38334,20.0,Ok,0x0,75.0
770.109000000055,38335,20.0,Ok,0x0,77.0
770.125,38336,20.0,Ok,0x0,70.0
770.140000000014,38337,20.0,Ok,0x0,53.0
770.170999999973,38338,20.0,Ok,0x0,57.0
770.1870000000345,38339,20.0,Ok,0x0,59.0
770.2029999999795,38340,20.0,Ok,0x0,61.0
770.234000000055,38341,20.0,Ok,0x0,59.0
770.25,38342,20.0,Ok,0x0,49.0
770.265000000014,38343,20.0,Ok,0x0,45.0
770.280999999959,38344,20.0,Ok,0x0,30.0
770.295999999973,38345,20.0,Ok,0x0,24.0
770.3279999999795,38346,20.0,Ok,0x0,32.0
770.3429999999935,38347,20.0,Ok,0x0,29.0
770.359000000055,38348,20.0,Ok,0x0,17.0
770.390000000014,38349,20.0,Ok,0x0,27.0
770.405999999959,38350,20.0,Ok,0x0,34.0
770.420999999973,38351,20.0,Ok,0x0,12.0
770.4529999999795,38352,20.0,Ok,0x0,45.0
770.4679999999935,38353,20.0,Ok,0x0,34.0
770.484000000055,38354,20.0,Ok,0x0,40.0
770.5,38355,20.0,Ok,0x0,49.0
770.530999999959,38356,20.0,Ok,0x0,48.0
770.545999999973,38357,20.0,Ok,0x0,48.0
770.5620000000345,38358,20.0,Ok,0x0,64.0
770.5929999999935,38359,20.0,Ok,0x0,69.0
770.609000000055,38360,20.0,Ok,0x0,66.0
770.625,38361,20.0,Ok,0x0,71.0
770.640000000014,38362,20.0,Ok,0x0,60.0
770.670999999973,38363,20.0,Ok,0x0,57.0
770.6870000000345,38364,20.0,Ok,0x0,62.0
770.7029999999795,38365,20.0,Ok,0x0,67.0
770.734000000055,38366,20.0,Ok,0x0,62.0
770.75,38367,20.0,Ok,0x0,55.0
770.765000000014,38368,20.0,Ok,0x0,55.0
770.780999999959,38369,20.0,Ok,0x0,53.0
770.8120000000345,38370,20.0,Ok,0x0,49.0
770.8279999999795,38371,20.0,Ok,0x0,56.0
770.8429999999935,38372,20.0,Ok,0x0,60.0
770.875,38373,20.0,Ok,0x0,61.0
