time_s,sequence,interval_ms,status,status_code,distance_cm
973.8279999999795,48521,20.0,Ok,0x0,71.0
973.8429999999935,48522,20.0,Ok,0x0,70.0
973.875,48523,20.0,Ok,0x0,69.0
973.890000000014,48524,20.0,Ok,0x0,68.0
973.905999999959,48525,20.0,Ok,0x0,69.0
973.920999999973,48526,20.0,Ok,0x0,70.0
973.9529999999795,48527,20.0,Ok,0x0,68.0
973.9679999999935,48528,20.0,Ok,0x0,68.0
973.984000000055,48529,20.0,Ok,0x0,69.0
974.015000000014,48530,20.0,Ok,0x0,70.0
974.030999999959,48531,20.0,Ok,0x0,68.0
974.045999999973,48532,20.0,Ok,0x0,70.0
974.0620000000345,48533,20.0,Ok,0x0,71.0
974.0929999999935,48534,20.0,Ok,0x0,70.0
974.109000000055,48535,20.0,Ok,0x0,69.0
974.125,48536,20.0,Ok,0x0,70.0
974.140000000014,48537,20.0,Ok,0x0,70.0
974.170999999973,48538,20.0,Ok,0x0,70.0
974.1870000000345,48539,20.0,Ok,0x0,69.0
974.2029999999795,48540,20.0,Ok,0x0,69.0
974.234000000055,48541,20.0,Ok,0x0,69.0
974.25,48542,20.0,Ok,0x0,72.0
974.265000000014,48543,20.0,Ok,0x0,70.0
974.280999999959,48544,20.0,Ok,0x0,70.0
974.3120000000345,48545,20.0,Ok,0x0,71.0
974.3279999999795,48546,20.0,Ok,0x0,75.0
974.3429999999935,48547,20.0,Ok,0x0,74.0
974.375,48548,20.0,Ok,0x0,77.0
974.390000000014,48549,20.0,Ok,0x0,60.0
974.405999999959,48550,20.0,Ok,0x0,99.0
974.420999999973,48551,20.0,Ok,0x0,101.0
974.4529999999795,48552,20.0,Ok,0x0,102.0
974.4679999999935,48553,20.0,Ok,0x0,94.0
974.484000000055,48554,20.0,Ok,0x0,107.0
974.515000000014,48555,20.0,Ok,0x0,122.0
974.530999999959,48556,20.0,Ok,0x0,122.0
974.545999999973,48557,20.0,Ok,0x0,119.0
974.5620000000345,48558,20.0,Ok,0x0,132.0
974.5929999999935,48559,20.0,Ok,0x0,169.0
974.609000000055,48560,20.0,Ok,0x0,221.0
974.625,48561,20.0,Ok,0x0,224.0
974.655999999959,48562,20.0,Ok,0x0,193.0
974.670999999973,48563,20.0,Ok,0x0,164.0
974.6870000000345,48564,20.0,Ok,0x0,173.0
974.7029999999795,48565,20.0,Ok,0x0,176.0
974.734000000055,48566,20.0,Ok,0x0,163.0
974.75,48567,20.0,Ok,0x0,270.0
974.765000000014,48568,20.0,Ok,0x0,189.0
974.780999999959,48569,20.0,Ok,0x0,198.0
