timestamp_ms,distance_cm
234125.0,64.0
234140.99999994505,63.0
234155.99999995902,67.0
234187.99999996554,66.0
234202.9999999795,63.0
234219.00000004098,59.0
234250.0,61.0
234265.99999994505,68.0
234280.99999995902,62.0
234297.0000000205,60.0
234327.9999999795,65.0
234344.00000004098,63.0
234359.99999998603,61.0
234375.0,63.0
234405.99999995902,57.0
234422.0000000205,61.0
234437.99999996554,60.0
234469.00000004098,61.0
234484.99999998603,51.0
234500.0,53.0
234515.99999994505,63.0
234547.0000000205,61.0
234562.99999996554,55.0
234577.9999999795,58.0
234609.99999998603,59.0
234625.0,58.0
234640.99999994505,56.0
234655.99999995902,56.0
234687.99999996554,63.0
234702.9999999795,61.0
234719.00000004098,62.0
234750.0,66.0
234765.99999994505,62.0
234780.99999995902,70.0
234797.0000000205,68.0
234827.9999999795,72.0
234844.00000004098,72.0
234859.99999998603,77.0
234875.0,81.0
234905.99999995902,85.0
234922.0000000205,87.0
234937.99999996554,90.0
234969.00000004098,95.0
234984.99999998603,97.0
235000.0,103.0
235015.99999994505,106.0
235047.0000000205,110.0
235062.99999996554,112.0
235077.9999999795,114.0
235109.99999998603,118.0
235125.0,121.0
235140.99999994505,128.0
235155.99999995902,132.0
235187.99999996554,128.0
235202.9999999795,137.0
235219.00000004098,132.0
235250.0,142.0
235265.99999994505,166.0
235280.99999995902,188.0
235297.0000000205,141.0
235327.9999999795,156.0
235344.00000004098,168.0
235359.99999998603,161.0
235390.99999994505,164.0
235405.99999995902,152.0
235422.0000000205,153.0
235437.99999996554,167.0
235469.00000004098,156.0
235484.99999998603,162.0
235500.0,163.0
235515.99999994505,173.0
235547.0000000205,167.0
235562.99999996554,162.0
235577.9999999795,174.0
235609.99999998603,165.0
235625.0,163.0
235640.99999994505,167.0
235655.99999995902,166.0
235687.99999996554,167.0
235702.9999999795,169.0
235719.00000004098,163.0
235750.0,170.0
235765.99999994505,170.0
235780.99999995902,165.0
235797.0000000205,164.0
235827.9999999795,165.0
235844.00000004098,162.0
235859.99999998603,168.0
235890.99999994505,167.0
235905.99999995902,161.0
235922.0000000205,155.0
235937.99999996554,164.0
235969.00000004098,162.0
235984.99999998603,156.0
236000.0,163.0
236015.99999994505,144.0
236047.0000000205,167.0
236062.99999996554,161.0
236077.9999999795,158.0
236109.99999998603,150.0
236125.0,148.0
236140.99999994505,146.0
236155.99999995902,145.0
236187.99999996554,145.0
236202.9999999795,142.0
236219.00000004098,136.0
236234.99999998603,132.0
236265.99999994505,126.0
236280.99999995902,123.0
236297.0000000205,123.0
236327.9999999795,118.0
236344.00000004098,107.0
236359.99999998603,108.0
236390.99999994505,106.0
236405.99999995902,93.0
236422.0000000205,94.0
236437.99999996554,84.0
236469.00000004098,78.0
236484.99999998603,75.0
236500.0,69.0
236515.99999994505,70.0
236547.0000000205,61.0
236562.99999996554,48.0
236577.9999999795,49.0
236609.99999998603,46.0
236625.0,38.0
236640.99999994505,38.0
236655.99999995902,34.0
236687.99999996554,33.0
236702.9999999795,32.0
236719.00000004098,37.0
236750.0,35.0
236765.99999994505,30.0
236780.99999995902,39.0
236797.0000000205,41.0
236827.9999999795,49.0
236844.00000004098,47.0
236859.99999998603,57.0
236890.99999994505,61.0
236905.99999995902,55.0
236922.0000000205,70.0
236937.99999996554,69.0
236969.00000004098,69.0
236984.99999998603,80.0
237000.0,83.0
237015.99999994505,84.0
237047.0000000205,87.0
237062.99999996554,86.0
237077.9999999795,79.0
237109.99999998603,86.0
237125.0,92.0
