gesture,person,trial,uwb_distance_mean,uwb_distance_std,uwb_distance_min,uwb_distance_max,uwb_distance_energy,uwb_distance_slope,uwb_direction_changes,uwb_skewness,uwb_peak_time_fraction,uwb_trough_time_fraction,uwb_early_late_diff
bye_bye,nav,24,101.89261744966443,12.1319042141111,67.0,118.0,1568864.0,38.0,62,-1.268488311910498,0.1891891891891892,0.06756756756756757,8.83405405405405
bye_bye,nav,25,104.65333333333334,21.987265000955034,52.0,218.0,1715364.0,64.0,73,0.17195061479122625,0.21476510067114093,0.006711409395973154,8.61333333333333
bye_bye,nav,26,98.62666666666667,22.985371193193483,47.0,152.0,1538332.0,36.0,69,-0.8833211807033974,0.47651006711409394,0.12080536912751678,22.346666666666664
bye_bye,nav,27,103.58666666666667,24.772884818329537,28.0,208.0,1701584.0,63.0,74,-0.15820544496839836,0.24161073825503357,0.020134228187919462,5.546666666666667
bye_bye,nav,28,107.37333333333333,16.60584100717442,60.0,162.0,1770718.0,32.0,78,-1.113444519606263,0.2214765100671141,0.020134228187919462,5.973333333333329
bye_bye,nav,29,57.913333333333334,17.255312869438857,45.0,122.0,547755.0,71.0,72,2.426154583761157,1.0,0.2080536912751678,16.626666666666672
bye_bye,nav,30,117.76666666666667,21.361777911858262,92.0,181.0,2148797.0,1.0,81,1.276223097542436,0.3691275167785235,0.6510067114093959,-21.586666666666673
bye_bye,nav,31,107.13333333333334,26.60643197090174,38.0,210.0,1827818.0,63.0,83,-0.7940677782073001,0.22818791946308725,0.013422818791946308,17.760000000000005
bye_bye,nav,32,100.17218543046357,27.255903203935553,54.0,186.0,1627380.0,42.0,78,-0.10128905758249493,0.49333333333333335,0.16,24.23719298245615
bye_bye,nav,33,100.55629139072848,25.037359042750918,45.0,207.0,1621504.0,73.0,73,-0.5684199184821429,0.23333333333333334,0.09333333333333334,17.794736842105266
bye_bye,nav,34,116.08666666666667,23.96718219195202,54.0,221.0,2107581.0,49.0,78,0.5692166512961393,0.19463087248322147,0.020134228187919462,5.693333333333342
bye_bye,nav,35,116.24503311258277,31.165647348768125,54.0,207.0,2187115.0,32.0,84,-0.046639708610367,0.37333333333333335,0.07333333333333333,19.587017543859645
bye_bye,nav,36,106.23178807947019,21.682978861297183,51.0,161.0,1775057.0,46.0,79,-0.8407831179602441,0.8133333333333334,0.02666666666666667,19.34877192982455
bye_bye,nav,37,118.26,41.844701775334315,47.0,266.0,2360461.0,70.0,68,1.2329961651580745,0.40268456375838924,0.0,8.173333333333332
bye_bye,nav,38,111.60666666666667,30.45628488323697,41.0,212.0,2007545.0,51.0,85,0.18382976154698277,0.24161073825503357,0.08053691275167785,13.986666666666665
bye_bye,nav,39,107.69333333333333,22.169632884245566,59.0,197.0,1813402.0,52.0,78,0.6279040839137094,0.2080536912751678,0.0,5.439999999999998
bye_bye,nav,40,99.36423841059603,17.016347202090724,62.0,128.0,1534584.0,37.0,72,-1.1018942676285959,0.24,0.06,15.10842105263157
clapping,akshat,1,37.496688741721854,17.866270775393353,3.0,78.0,260506.0,14.0,46,0.14626919381693856,0.06666666666666667,0.19333333333333333,-7.22543859649123
clapping,akshat,2,37.04,16.83919237968377,8.0,76.0,248328.0,-4.0,57,-0.16891411542249662,0.013422818791946308,0.2953020134228188,-4.239999999999995
clapping,akshat,3,35.14,20.643329834759378,0.0,82.0,249145.0,-46.0,42,0.15717865654660132,0.026845637583892617,0.7114093959731543,-11.586666666666662
clapping,akshat,4,31.666666666666668,15.958139685509154,1.0,60.0,188616.0,-35.0,41,-0.2532702895920687,0.09395973154362416,0.20134228187919462,-2.8000000000000043
clapping,akshat,5,34.980132450331126,16.092641648102557,7.0,63.0,223870.0,-40.0,62,-0.03944409673599628,0.25333333333333335,0.7066666666666667,-8.013333333333335
clapping,akshat,6,32.328859060402685,17.798817151340348,0.0,65.0,202931.0,1.0,40,-0.14061157063221807,0.06756756756756757,0.4391891891891892,-9.17261261261261
clapping,akshat,7,34.63333333333333,16.752479086856237,5.0,71.0,222017.0,-9.0,72,0.08346102440959889,0.21476510067114093,0.3087248322147651,-9.61333333333333
clapping,akshat,8,37.38666666666666,14.458117289452163,5.0,63.0,241020.0,-17.0,63,-0.4680944541088931,0.12751677852348994,0.9463087248322147,-8.053333333333335
clapping,akshat,9,31.626666666666665,15.014014194152816,6.0,63.0,183850.0,-15.0,51,0.2093769861708897,0.040268456375838924,0.2953020134228188,-6.933333333333334
clapping,akshat,10,34.32666666666667,17.1978667927805,3.0,71.0,221113.0,-34.0,65,0.3295040607190979,0.040268456375838924,0.6644295302013423,-9.826666666666668
clapping,akshat,11,35.18,16.64014022376815,6.0,69.0,227179.0,-12.0,43,0.05444341372281365,0.026845637583892617,0.5369127516778524,-6.946666666666669
clapping,akshat,12,38.145695364238414,21.84848407337562,3.0,81.0,291800.0,-42.0,50,0.07762107310733656,0.8,0.47333333333333333,-13.883333333333333
clapping,akshat,13,35.817567567567565,18.74834665220858,2.0,69.0,241891.0,-46.0,49,-0.23951387506846125,0.35374149659863946,0.9863945578231292,-5.148648648648653
clapping,akshat,14,33.10738255033557,15.188807668275233,4.0,61.0,197693.0,-31.0,55,-0.13732844364816083,0.13513513513513514,0.8783783783783784,-7.303783783783782
clapping,akshat,15,33.913907284768214,15.650969712610344,1.0,64.0,210661.0,-27.0,55,-0.33378996389152815,0.3933333333333333,0.36,-5.628245614035091
clapping,akshat,16,32.18666666666667,15.569794118384767,4.0,57.0,191760.0,-42.0,55,-0.2590749911708821,0.06711409395973154,0.18791946308724833,-6.053333333333331
clapping,akshat,17,29.766666666666666,13.957753719309167,1.0,67.0,162131.0,-12.0,65,-0.16462260905916923,0.6845637583892618,0.9664429530201343,-3.4800000000000004
clapping,akshat,18,33.854304635761586,16.719104094867394,0.0,65.0,215272.0,-42.0,62,-0.301437857272117,0.2,0.47333333333333333,-7.23017543859649
clapping,akshat,19,29.96,16.70444252287397,1.0,61.0,176496.0,-9.0,52,0.04436744159785653,0.04697986577181208,0.4161073825503356,-8.319999999999997
clapping,akshat,20,35.390728476821195,17.697971414389652,2.0,73.0,236424.0,-58.0,39,-0.06640241031115733,0.006666666666666667,0.6333333333333333,-8.44263157894737
clapping,jon,1,30.344,16.262892239697095,6.0,73.0,148155.0,-55.0,39,0.30646399539294183,0.016129032258064516,0.6612903225806451,-5.173835125448029
clapping,jon,2,34.408,18.094903591895704,9.0,110.0,188917.0,-49.0,34,1.173122000827607,0.024193548387096774,0.24193548387096775,-4.0227854582693325
clapping,jon,3,27.496,15.422904525412845,3.0,78.0,124237.0,-30.0,43,1.1606475339778923,0.008064516129032258,0.31451612903225806,-6.248335893497185
clapping,jon,4,29.452380952380953,14.640998720627463,7.0,83.0,136307.0,-37.0,39,1.000612229012868,0.032,0.584,-4.936507936507937
clapping,jon,5,31.92,14.2899125259744,8.0,88.0,152886.0,-30.0,41,0.5398288139270038,0.024193548387096774,0.8790322580645161,-8.60727086533538
clapping,jon,6,25.448,15.587408251534312,7.0,92.0,111321.0,-72.0,44,1.4180542038921053,0.0,0.5725806451612904,-5.575524833589348
clapping,jon,7,30.104,15.129745007765333,10.0,106.0,141895.0,-34.0,51,1.8054893750111096,0.016129032258064516,0.3951612903225806,-3.697900665642603
clapping,jon,8,29.491935483870968,14.95665563776894,7.0,74.0,135591.0,-54.0,41,0.9981881729925001,0.016260162601626018,0.24390243902439024,0.7903225806451601
clapping,jon,9,28.865079365079364,16.148297455397177,3.0,91.0,137839.0,-49.0,45,1.563595800131796,0.016,0.976,-10.904761904761905
clapping,jon,10,28.19047619047619,15.155654969384214,7.0,74.0,129074.0,-55.0,37,0.9769117001217826,0.0,0.392,-7.8730158730158735
clapping,jon,11,35.28,17.212832422352808,6.0,84.0,192620.0,-44.0,53,0.6232607409208107,0.024193548387096774,0.3629032258064516,-9.845110087045573
clapping,jon,12,29.869918699186993,14.243503354100362,9.0,88.0,134696.0,-49.0,31,1.057291423061061,0.03278688524590164,0.38524590163934425,-4.225806451612904
clapping,jon,13,42.32539682539682,21.39901695008047,5.0,117.0,283419.0,-102.0,40,0.888588797545401,0.0,0.216,-5.761904761904766
clapping,jon,14,41.456,20.272741896448046,12.0,110.0,266198.0,-71.0,44,0.5867570421221744,0.0,0.5967741935483871,-11.12800819252432
clapping,jon,15,41.20634920634921,18.099950653408776,4.0,91.0,255222.0,-55.0,38,-0.016902490203507314,0.016,0.6,-5.8730158730158735
clapping,jon,16,39.136,16.762025653243704,9.0,77.0,226574.0,-53.0,34,0.2354626932107405,0.008064516129032258,0.9919354838709677,-7.890681003584227
clapping,jon,17,37.104,16.442785165536886,1.0,103.0,205884.0,-53.0,32,0.8069551758873346,0.0,0.16129032258064516,-3.729902713773683
clapping,jon,18,36.56,17.82106618583748,7.0,119.0,206778.0,-29.0,38,1.218474340871421,0.016129032258064516,0.6935483870967742,-4.745263696876599
clapping,jon,19,35.008,15.843987376919989,9.0,82.0,184574.0,-56.0,38,0.5705992795629152,0.0,0.5564516129032258,-0.3041474654377936
clapping,jon,20,23.78048780487805,14.531455416096968,9.0,80.0,95531.0,-47.0,57,2.4402324325532745,0.0,0.7295081967213115,-7.232681121099944
clapping,nav,1,26.473684210526315,13.145415134493538,3.0,53.0,66398.0,-13.0,19,0.2812434130148531,0.17333333333333334,0.6533333333333333,-9.421052631578949
