gesture,person,trial,imu_ax_mean,imu_ax_std,imu_ax_min,imu_ax_max,imu_ax_energy,imu_ay_mean,imu_ay_std,imu_ay_min,imu_ay_max,imu_ay_energy,imu_az_mean,imu_az_std,imu_az_min,imu_az_max,imu_az_energy,imu_gx_mean,imu_gx_std,imu_gx_min,imu_gx_max,imu_gx_energy,imu_gy_mean,imu_gy_std,imu_gy_min,imu_gy_max,imu_gy_energy,imu_gz_mean,imu_gz_std,imu_gz_min,imu_gz_max,imu_gz_energy,mmwave_range_mean,mmwave_range_std,mmwave_range_min,mmwave_range_max,mmwave_range_energy,mmwave_doppler_mean,mmwave_doppler_std,mmwave_doppler_min,mmwave_doppler_max,mmwave_doppler_energy,mmwave_angle_mean,mmwave_angle_std,mmwave_angle_min,mmwave_angle_max,mmwave_angle_energy,mmwave_elevation_mean,mmwave_elevation_std,mmwave_elevation_min,mmwave_elevation_max,mmwave_elevation_energy,mmwave_point_count_mean,mmwave_point_count_std,mmwave_point_count_min,mmwave_point_count_max,mmwave_point_count_energy,uwb_distance_mean,uwb_distance_std,uwb_distance_min,uwb_distance_max,uwb_distance_energy,uwb_distance_slope,uwb_direction_changes,uwb_skewness,uwb_peak_time_fraction,uwb_trough_time_fraction,uwb_early_late_diff
bye_bye,jon,1,0.08081900000000004,0.6841837033828501,-1.121,1.328,318.0081639929,-0.2943149253731343,0.7580888662816637,-1.647,1.501,443.08440299999995,-0.23644328358208955,0.4335209326226981,-1.051,0.853,163.37670300000002,6.178179104477612,68.25266393552913,-254.62,147.5,3146719.341,3.443835820895522,74.35265453151953,-183.66,159.55,3711918.7515,-18.70637313432836,105.19994907840773,-243.42,194.59,7649361.6469,1.2734366646643416,0.7090804682282894,0.09144720126926437,3.425633560015149,1871.628159463512,0.0,0.0,0.0,0.0,0.0,0.8649884549825148,20.64345304551305,-68.73923818869876,68.06088587284813,376099.215987878,0.0,0.0,0.0,0.0,0.0,8.39047619047619,2.996808582142766,1.0,18.0,8335.0,137.63346613545818,44.8708762272839,54.0,239.0,5260048.0,8.0,148.0,0.4021422701290756,0.652,0.124,32.226539682539666
bye_bye,jon,2,0.4166556390977444,0.5501904169916116,-1.252,1.092,316.74709199999995,-0.19915187969924816,0.8873411899933829,-1.627,1.658,549.978846,-0.22597894736842106,0.4345553387244593,-1.116,0.766,159.53671,7.119578947368422,58.76150503098882,-155.67,132.36,2329895.9138,-4.594766917293234,90.5742585515538,-185.86,163.52,5469497.4498000005,-11.29181954887218,138.97991982777893,-240.76,223.15,12929543.997200001,1.151883667444051,0.6514774048509085,0.5894340902359712,3.5699945073811876,1283.6726947966781,0.0,0.0,0.0,0.0,0.0,4.565081108435239,23.78127221854401,-66.13166998669264,67.76313904316437,429823.0445387097,0.0,0.0,0.0,0.0,0.0,6.724770642201835,2.3102148898540276,3.0,16.0,5511.0,134.20717131474103,51.91032825602186,43.0,243.0,5197268.0,0.0,144.0,0.3896309455952299,0.472,0.168,34.628380952380965
bye_bye,jon,3,0.4620765765765766,0.5372264763847932,-1.186,1.186,334.416615,-0.26136336336336335,0.8885472132922079,-1.614,1.648,571.312754,-0.19025975975975976,0.3253930957459016,-0.879,0.631,94.624909,21.074594594594593,87.27084056787946,-232.43,271.4,5368185.2084,4.521186186186186,62.18079181560158,-134.16,118.32,2588670.0689,-4.127417417417416,131.2880902392735,-236.21,232.86,11490896.41,1.2048438935878234,0.6462325194042992,0.45852024683312875,3.569308329269533,2093.5771102976732,0.0,0.0,0.0,0.0,0.0,3.5404022857638173,25.946365664775417,-60.910783070147716,68.89430467222203,768038.1403019119,0.0,0.0,0.0,0.0,0.0,6.4,2.4634470622628424,1.0,13.0,8230.0,129.336,40.813320178588754,59.0,243.0,4598382.0,116.0,143.0,0.7097733148782107,0.9357429718875502,0.13654618473895583,17.727999999999994
bye_bye,jon,4,0.4280225563909774,0.5340310242200869,-1.132,1.071,311.480975,-0.269606015037594,0.8768321371023924,-1.653,1.632,559.61213,-0.19325714285714285,0.424489820327604,-1.074,0.908,144.66405400000002,16.465233082706767,74.45708866800794,-253.67,192.69,3866949.6989999996,-1.9657593984962414,82.80514163907289,-186.22,173.86,4562269.5351,-1.6388270676691745,143.18655038639824,-244.54,259.38,13635874.1872,1.318985201511881,0.724667808545719,0.08931250350258617,9.121899479503355,1331.7408519952778,0.04285463893851012,0.5507367332922317,0.0,9.453816057852237,179.42671205185792,5.305556876886433,24.796345537074664,-52.477851838306464,69.15551164528938,378088.51923151314,0.21929688599328195,3.6811746353342554,0.0,81.3027802463285,7996.293038180364,8.054794520547945,2.280893906470162,1.0,12.0,5116.0,127.20318725099601,40.598639775174966,56.0,246.0,4475054.0,16.0,143.0,0.7711258617610526,0.62,0.156,16.18190476190476
bye_bye,jon,5,0.46420090634441097,0.559103461069995,-1.137,1.15,349.58840499999997,-0.18524471299093653,0.885418721123944,-1.595,1.627,541.702628,-0.16424622356495466,0.3547697625067021,-0.944,0.743,101.179025,8.59287009063444,73.55238474127225,-254.37,216.47,3630269.455,-2.0902567975830824,76.02392645569356,-150.58,163.3,3829012.3475,-11.85510574018127,136.30052166206613,-244.39,246.83,12391564.7382,0.9991635496932686,0.7126944228005998,0.08235561064279452,8.286415008369568,1598.1430688256637,0.0028187951946878607,0.3185282028816268,-6.071394941624021,8.386890068650246,107.65771949722662,0.8599653276892788,28.521619320866368,-89.89159136686122,95.49724969575541,863889.8699012494,-0.08165828217448819,3.2259363020209246,-87.01091220477389,37.236455300216896,11048.54641882852,5.894444444444445,2.680168365818797,1.0,12.0,7547.0,130.289156626506,44.0129216478466,47.0,238.0,4709188.0,31.0,142.0,0.29189871630569314,0.8306451612903226,0.13306451612903225,39.83767741935482
bye_bye,jon,6,0.13157421289355326,0.7374918179369387,-1.247,1.004,374.32437200000004,-0.4014257871064467,0.6013790113207013,-1.364,1.156,348.707185,-0.21828035982008995,0.30438797584522104,-0.88,0.538,93.579003,8.789700149925038,66.85703815855425,-186.16,259.56,3032930.6275,3.2006446776611686,56.4998523916129,-129.15,112.49,2136052.4569,-13.268380809595206,99.65938803326723,-202.73,171.76,6742065.049500001,1.141645716090689,0.5457499530292796,0.09148460606313347,3.354857924061944,847.033716766532,0.0,0.0,0.0,0.0,0.0,6.7326442669609134,22.18156259549209,-68.38522105721376,68.80168170802872,284258.2653236798,0.0,0.0,0.0,0.0,0.0,7.2465753424657535,2.3744116613330126,2.0,15.0,4245.0,142.416,47.903934535693416,50.0,227.0,2822138.0,111.0,74.0,-0.09487068383289642,0.5241935483870968,0.14516129032258066,42.20404505888378
bye_bye,jon,7,0.4857357357357358,0.550346409459205,-1.165,1.025,358.85437,-0.23143693693693693,0.7019223666373745,-1.814,1.333,363.807871,-0.20284084084084086,0.36427188705882185,-1.046,0.94,115.776384,13.890765765765765,71.48031105159113,-159.58,243.48,3531390.5689,3.396726726726727,70.9641099288534,-160.01,171.45,3361596.8052,-0.7275975975975978,129.3424400641026,-221.93,346.6,11142177.4692,1.1436875375151085,0.5734280783560528,0.08506601916813435,3.383662174079983,893.7151557049106,0.0,0.0,0.0,0.0,0.0,3.8476730999815425,20.196791016269966,-69.44395478041653,67.59549931926766,230802.36577900578,0.0,0.0,0.0,0.0,0.0,7.583333333333333,1.7853571071357126,4.0,12.0,4370.0,141.6031746031746,48.3832384995018,49.0,237.0,2821442.0,88.0,55.0,-0.0030134796499581566,0.312,0.096,35.142857142857125
bye_bye,jon,8,0.4778481203007519,0.5951518030400985,-1.128,1.258,387.39208900000006,-0.2562631578947369,0.6079514584740334,-1.513,1.047,289.458395,-0.29566466165413535,0.2274365819880111,-0.937,0.228,92.531419,8.985593984962408,84.21042635953519,-283.12,299.81,4769470.976600001,1.8427518796992473,46.93580458750848,-129.15,97.29,1467233.0487000002,3.1365864661654115,95.5602887222439,-186.9,294.96,6079168.6252999995,1.0400025336008276,0.5818748123573787,0.09070080139073199,4.443825276578541,967.1450092305633,0.0,0.0,0.0,0.0,0.0,4.702710618107488,23.219347506359743,-66.63976498711851,62.53171680001837,382213.69191533234,0.0,0.0,0.0,0.0,0.0,6.611650485436893,2.030031850669534,2.0,11.0,4927.0,143.75396825396825,51.94910306877093,45.0,240.0,2943853.0,42.0,69.0,0.024417306370778314,0.472,0.12,31.825396825396822
bye_bye,jon,9,0.6207754491017964,0.42014069912580954,-1.174,1.101,375.336084,-0.1353547904191617,0.6684604988292248,-1.832,1.171,310.727119,-0.22066916167664669,0.2432958201754935,-0.71,0.328,72.069007,12.43004491017964,67.09599496443468,-165.53,212.29,3110460.8758999994,5.925688622754492,35.68474107351604,-92.44,87.37,874087.7068,-11.66547904191617,96.5147089635948,-186.96,279.67,6313383.195,1.3377379886322769,0.7031562276555791,0.533790264015255,3.563662913482297,1295.0119010106675,0.0,0.0,0.0,0.0,0.0,7.562631197394075,22.679895238599382,-56.70128214069697,62.27768463313035,324080.7789211505,0.0,0.0,0.0,0.0,0.0,8.723076923076922,2.532907677309844,3.0,16.0,5363.0,138.46031746031747,31.79863498958416,84.0,262.0,2542984.0,38.0,75.0,0.9482331929881772,0.408,0.08,13.587301587301596
bye_bye,jon,10,0.3608222891566265,0.5668897852844237,-1.011,1.038,299.833684,-0.23673042168674707,0.608830249090049,-1.931,0.916,283.33913500000006,-0.40482379518072287,0.29525482761331795,-1.261,0.105,166.702325,5.836927710843373,53.31752740151818,-121.19,186.04,1910214.093,10.691355421686746,57.64503922245186,-115.18,123.91,2282337.7368,12.772213855421686,110.27485577152287,-224.22,298.47,8182919.0461,1.175794062338163,0.5402978599330812,0.35239222757787336,3.7549196484440954,1784.9247424734926,0.0,0.0,0.0,0.0,0.0,7.169488840289282,22.37469762833875,-60.48486701627699,62.321837819855475,588462.5560272011,0.0,0.0,0.0,0.0,0.0,7.614285714285714,2.592807949159461,1.0,14.0,9058.0,107.608,25.028590371812793,65.0,237.0,1525739.0,38.0,65.0,1.8955047576647268,0.27419354838709675,0.11290322580645161,5.814644137224789
