gesture,person,trial,uwb_distance_mean,uwb_distance_std,uwb_distance_min,uwb_distance_max,uwb_distance_energy,uwb_distance_slope,uwb_direction_changes
pull,sai,8,49.5,20.9753256402442,16.0,82.0,40463.0,-16.0,5.0
pull,sai,9,40.71084337349398,10.208505140340955,20.0,84.0,438635.0,-36.0,120.0
pull,sai,11,41.959349593495936,20.468257548131596,2.0,120.0,268083.0,3.0,53.0
pull,sai,13,42.21212121212121,18.55206853737908,20.0,101.0,350797.0,-14.0,78.0
pull,sai,15,50.28358208955224,15.954979543805791,25.0,97.0,372922.0,8.0,57.0
pull,sai,17,51.38235294117647,16.17298893013459,22.0,91.0,493291.0,16.0,90.0
pull,sai,18,50.368,17.944820311165,25.0,99.0,714738.0,1.0,117.0
pull,sai,20,51.203252032520325,23.372542903629636,0.0,170.0,389670.0,17.0,61.0
pull,sai,21,46.60642570281125,17.803640000420145,18.0,88.0,619793.0,-10.0,107.0
pull,sai,23,58.558035714285715,15.326687383175193,39.0,108.0,820725.0,-23.0,95.0
pull,sai,25,71.15447154471545,18.9818195090778,46.0,137.0,667062.0,-12.0,50.0
pull,sai,27,57.67213114754098,16.181066968685823,24.0,100.0,218862.0,-4.0,24.0
pull,sai,28,65.48421052631579,16.716750602091327,25.0,102.0,433925.0,12.0,35.0
pull,sai,29,64.27490039840637,15.261861936571044,40.0,103.0,1095411.0,-14.0,99.0
push,sai,1,64.43426294820718,12.224276241808244,44.0,107.0,1079603.0,-31.0,114.0
push,sai,3,56.13744075829384,17.63653766329605,32.0,150.0,730579.0,-14.0,102.0
push,sai,5,52.56164383561644,14.672671737892232,28.0,87.0,652185.0,-25.0,107.0
push,sai,7,54.836,18.170996230256613,27.0,122.0,834293.0,-7.0,124.0
push,sai,9,54.00896860986547,15.512179803451868,35.0,120.0,704144.0,-1.0,106.0
push,sai,10,54.8,20.169283576765935,17.0,100.0,852460.0,-15.0,120.0
push,sai,12,52.896,15.674603152871208,16.0,98.0,380460.0,4.0,71.0
push,sai,14,59.46636771300449,18.303801187938188,37.0,150.0,863295.0,-2.0,103.0
push,sai,16,52.8,19.623725748310335,12.0,95.0,777368.0,-23.0,125.0
push,sai,18,47.9253112033195,19.02178872976766,7.0,126.0,640738.0,-5.0,103.0
push,sai,19,62.99196787148595,19.04950050845055,38.0,173.0,1078387.0,2.0,130.0
push,sai,21,62.532786885245905,21.49501826624154,0.0,153.0,533431.0,14.0,62.0
push,sai,22,67.828,20.05009765562253,38.0,143.0,1250661.0,11.0,127.0
push,sai,24,54.825892857142854,14.647069706549512,27.0,92.0,721373.0,-15.0,121.0
push,sai,25,57.08764940239044,19.28937445809612,23.0,122.0,911401.0,-8.0,118.0
push,sai,26,50.0,0.0,50.0,50.0,2500.0,0.0,0.0
t_arm,akshat,1,131.49006622516555,55.21539610964757,34.0,264.0,3071095.0,70.0,66.0
t_arm,akshat,2,133.41059602649003,54.847563774179,35.0,269.0,3141803.0,93.0,61.0
t_arm,akshat,3,130.86092715231788,49.941295303824795,52.0,253.0,2962426.0,119.0,58.0
t_arm,akshat,4,124.3774834437086,47.82788426088115,40.0,249.0,2681347.0,68.0,66.0
t_arm,akshat,5,127.72185430463576,50.0869652896419,16.0,224.0,2842058.0,90.0,80.0
t_arm,akshat,6,116.60264900662251,46.15925204413688,44.0,212.0,2374755.0,100.0,74.0
t_arm,akshat,7,120.42666666666666,60.36647487545456,39.0,272.0,2722004.0,135.0,67.0
t_arm,akshat,8,116.43333333333334,54.03238740689597,41.0,284.0,2471433.0,109.0,50.0
t_arm,akshat,9,118.36,56.17843951790283,39.0,300.0,2574766.0,96.0,68.0
