gesture,person,trial,mmwave_range_mean,mmwave_range_std,mmwave_range_min,mmwave_range_max,mmwave_range_energy,mmwave_doppler_mean,mmwave_doppler_std,mmwave_doppler_min,mmwave_doppler_max,mmwave_doppler_energy,mmwave_angle_mean,mmwave_angle_std,mmwave_angle_min,mmwave_angle_max,mmwave_angle_energy,mmwave_elevation_mean,mmwave_elevation_std,mmwave_elevation_min,mmwave_elevation_max,mmwave_elevation_energy,mmwave_point_count_mean,mmwave_point_count_std,mmwave_point_count_min,mmwave_point_count_max,mmwave_point_count_energy
palm_up_down,sai,1,0.6374971169239112,0.3436883028556492,0.09149980831311734,2.8149736969701538,252.2961515545319,0.0,0.0,0.0,0.0,0.0,1.8515585097528493,20.356797045382375,-56.07598664175233,69.65354060194552,200975.0057885868,0.0,0.0,0.0,0.0,0.0,6.413333333333333,1.9397136100179555,2.0,11.0,3367.0
palm_up_down,sai,2,0.6625376946792004,0.376397942169558,0.09148740206879012,2.4786949964949447,314.12169978750626,0.0,0.0,0.0,0.0,0.0,6.406684517574814,24.035000693323536,-68.58573313000866,69.40463929286815,334731.23387616535,0.0,0.0,0.0,0.0,0.0,7.955882352941177,2.3100408930007363,3.0,16.0,4667.0
palm_up_down,sai,3,0.7250240939859645,0.6845752316890232,0.0012644054553268209,7.614175042872215,504.1117146440399,0.057927100251750706,0.6969888899189249,0.0,10.291049007413676,247.99857423829386,5.885797035050757,24.521595443335357,-65.90995893729739,90.0,322427.2836609797,0.3032933431919013,3.862019615986251,-15.47725578478062,63.609228966514834,7608.64145970757,7.041666666666667,2.5843412012434515,2.0,14.0,4051.0
palm_up_down,sai,4,0.6333482727899159,0.29774526716664623,0.09154941647820718,2.7539310969642585,245.38092166181968,0.0,0.0,0.0,0.0,0.0,6.460260562001106,21.341919657844546,-69.18540805548325,69.54867621649073,249103.46310663002,0.0,0.0,0.0,0.0,0.0,6.592105263157895,2.1714513190548232,1.0,12.0,3661.0
palm_up_down,sai,5,0.6961510322442117,0.3333534183858998,0.09148460606313347,2.8748682040456544,365.7909674039672,0.0,0.0,0.0,0.0,0.0,3.923291399457879,24.274691761905498,-61.08305115531676,69.40463929286815,371256.8655819179,0.0,0.0,0.0,0.0,0.0,7.675,2.3117904316784426,3.0,13.0,5140.0
palm_up_down,sai,6,0.6916125712018141,0.39171580229132485,0.09148460606313347,2.727757875932524,297.5633018706958,0.0,0.0,0.0,0.0,0.0,4.917949382541528,23.13912245715045,-64.24265130816836,69.01792371285673,263574.05589585134,0.0,0.0,0.0,0.0,0.0,6.28,1.8659046063504963,3.0,11.0,3219.0
palm_up_down,sai,7,0.7393630093555728,0.4026560706294555,0.09145908856288025,2.5914419775242994,416.76826764103225,0.016077918465735096,0.3895371411123908,0.0,9.453816057852237,89.3746380557048,5.009195081114774,23.673758138103146,-65.57518915293856,69.54867621649073,344296.8495283368,0.0,0.0,0.0,0.0,0.0,7.0,1.7525491637693282,4.0,12.0,4374.0
palm_up_down,sai,8,0.7149596255897336,0.35606204187752405,0.09155290899781621,2.6641044727266854,453.58063260536596,0.0,0.0,0.0,0.0,0.0,3.70157537606389,19.647472812999084,-66.27189562442106,67.74156353204381,284204.36707177886,0.0,0.0,0.0,0.0,0.0,6.522935779816514,1.9375399624181975,3.0,12.0,5047.0
palm_up_down,sai,9,0.6995110692431302,0.4615874488030868,0.09151448395133084,2.7198714183123407,391.9273195585049,0.0,0.0,0.0,0.0,0.0,1.184699933424687,22.063461292211496,-50.10522199455174,68.84210300624059,272415.5096738456,0.0,0.0,0.0,0.0,0.0,6.804878048780488,2.4367062154165917,3.0,15.0,4284.0
palm_up_down,sai,10,0.6365019533538337,0.3917321018262438,0.09149980831311734,3.55990760886512,297.72781772763324,0.0,0.0,0.0,0.0,0.0,2.2127899633015313,23.608401764150113,-58.65270587108776,69.54867621649073,299680.8880578212,0.0,0.0,0.0,0.0,0.0,7.301369863013699,2.249413509600659,1.0,13.0,4261.0
palm_up_down,sai,11,0.6659417236272765,0.5944858507216579,0.001087682699614445,7.614175042872215,427.13400800309387,0.0547855143097999,0.6779985480117949,0.0,10.291049007413676,247.99834725478019,-1.0551442078383464,27.096313189133323,-68.56427106281308,90.0,394133.4055102132,0.2871053523754865,3.759208329645215,-15.47725578478062,63.609228966514834,7618.745137483626,7.342465753424658,2.2828675675603596,4.0,14.0,4316.0
palm_up_down,sai,12,0.6772616562582757,0.3615198824590747,0.09148460606313347,2.703475969074407,316.4970473541473,0.0,0.0,0.0,0.0,0.0,-4.442661327654209,27.751037046776418,-64.30330799064454,69.05089591446728,424153.36840511597,0.0,0.0,0.0,0.0,0.0,7.065789473684211,1.8448757361932155,3.0,12.0,4053.0
palm_up_down,sai,13,0.6961959492473297,0.36677709518538376,0.09145646649858136,2.701416035603405,320.1337606846266,0.0,0.0,0.0,0.0,0.0,5.1870302917145645,24.734160077967722,-65.83708100575515,69.19529946377328,330199.6062910132,0.0,0.0,0.0,0.0,0.0,7.180555555555555,2.567566881574465,2.0,14.0,4187.0
palm_up_down,sai,14,0.6962324731230124,0.2878423572800181,0.08758378787928184,2.579417127331507,412.07243035401575,0.0,0.0,0.0,0.0,0.0,-2.714506495641838,22.8365465565339,-55.24740637179395,66.15628320088379,383964.26940826967,0.0,0.0,0.0,0.0,0.0,6.258620689655173,2.1620579662042156,1.0,11.0,5086.0
palm_up_down,sai,15,0.7225519812668011,0.4729678469617707,0.08304554967260028,2.7413296641629823,246.85316341432895,0.0,0.0,0.0,0.0,0.0,6.876837881753892,20.152476336532448,-37.332353537137635,69.19529946377328,150079.7697780669,0.0,0.0,0.0,0.0,0.0,6.490196078431373,1.92376824884879,3.0,12.0,2337.0
palm_up_down,sai,16,0.6632696289764194,0.13449258432182631,0.11380435811919482,1.6954170645608573,123.20599625326167,0.0,0.0,0.0,0.0,0.0,11.983763708220337,17.409931654080204,-55.206448514327384,52.48156157247998,120166.68814702056,0.0,0.0,0.0,0.0,0.0,5.173076923076923,1.5407434999195613,2.0,8.0,1515.0
palm_up_down,sai,17,0.793235193384913,0.5431878111645998,0.09148460606313347,2.8362599855376778,451.9705093386506,0.0,0.0,0.0,0.0,0.0,10.8640619738013,22.07571122748381,-60.782408156856675,69.65354060194552,296023.42082845676,0.0,0.0,0.0,0.0,0.0,6.037037037037037,2.0393925774720305,1.0,13.0,3289.0
palm_up_down,sai,18,0.6847671075029294,0.4278788032647628,0.09147744090856083,3.0534607595266565,475.94997111488624,0.0,0.0,0.0,0.0,0.0,10.203356414912813,22.428030604253838,-64.78695835583814,69.54867621649073,443201.27840801515,0.0,0.0,0.0,0.0,0.0,5.703125,2.0130797883777483,1.0,13.0,4682.0
palm_up_down,sai,19,0.7734204876320121,0.49091163588284115,0.09148460606313347,2.7079349486028046,727.5634114378704,0.0,0.0,0.0,0.0,0.0,4.217219486329716,19.797546088530503,-53.97028686565264,69.40463929286815,355233.9777373604,0.0,0.0,0.0,0.0,0.0,6.826771653543307,1.8743796377996784,2.0,12.0,6365.0
palm_up_down,sai,20,0.6737944021826554,0.4529413820375468,0.0914711490905592,2.9145679848284285,425.8139956156981,0.0,0.0,0.0,0.0,0.0,1.7883039401928058,23.218600150438743,-58.28393477046186,68.630889878333,350326.71985778725,0.0,0.0,0.0,0.0,0.0,6.271844660194175,2.118774947190102,1.0,12.0,4514.0
raise_arms,sai,2,1.0577155993167786,0.4691805618669874,0.5480883944808824,2.6919560357163466,1620.0601532929682,0.0,0.0,0.0,0.0,0.0,1.9604594787277947,22.82887042357261,-53.22470179408376,62.62229722866828,635250.8786826422,0.0,0.0,0.0,0.0,0.0,8.344827586206897,1.9453899896043452,4.0,13.0,10646.0
raise_arms,sai,3,0.9484427342333515,0.42501685503323894,0.48935130945568617,2.7000096033491343,460.1579354996943,0.0,0.0,0.0,0.0,0.0,9.630806912017038,22.29508269057692,-65.08319086688252,69.24633404814139,251264.6635853487,0.0,0.0,0.0,0.0,0.0,7.1,1.786057109949175,4.0,11.0,3216.0
raise_arms,sai,4,1.0315418550109219,0.5318807492143297,0.6029466132330048,2.706345115352746,695.0394766924717,0.0,0.0,0.0,0.0,0.0,7.761114236743423,19.667012069982484,-49.41304303985614,64.53345495044599,230665.549105615,0.0,0.0,0.0,0.0,0.0,7.068493150684931,1.6743738729421942,3.0,11.0,3852.0
raise_arms,sai,5,0.9820687866689339,0.41113613567050417,0.5159177116290669,1.876128248735329,631.3550572585314,0.0,0.0,0.0,0.0,0.0,3.16714728440556,22.8939784050022,-47.92835228227929,66.7032781777417,297529.9435053124,0.0,0.0,0.0,0.0,0.0,7.527027027027027,2.4781366854356466,4.0,14.0,4647.0
raise_arms,sai,6,0.9819878590351633,0.43301328522294485,0.6109312508881999,2.728225233738231,465.3274668307006,0.0,0.0,0.0,0.0,0.0,2.8851527761320424,19.238401390190976,-31.631990458597397,60.3016261176639,152889.83861505674,0.0,0.0,0.0,0.0,0.0,7.214285714285714,1.4232042032265197,5.0,11.0,3028.0
raise_arms,sai,7,1.0789020504161815,0.5741978679241954,0.556926268180357,2.7206898849715833,973.9138025004479,0.0,0.0,0.0,0.0,0.0,4.529273770970778,26.368410986378557,-59.98635638830594,64.61588934449989,466706.43708301056,0.0,0.0,0.0,0.0,0.0,8.253164556962025,2.492867569638718,4.0,15.0,5872.0
raise_arms,sai,8,1.0653215747050242,0.5035510265252827,0.5053256474166303,2.733457518000057,915.004164244948,0.0,0.0,0.0,0.0,0.0,4.050534846812577,24.933472295663115,-69.04890788266972,69.30051008515292,420497.93148087256,0.0,0.0,0.0,0.0,0.0,8.036585365853659,2.4764506561748343,4.0,14.0,5799.0
raise_arms,sai,9,1.004874658772452,0.4691395162575768,0.26862697856408374,2.700304834428336,917.4792643058538,0.0,0.0,0.0,0.0,0.0,8.46047768205261,21.594792013885,-50.83049647325045,62.695490710515045,401284.38464967033,0.0,0.0,0.0,0.0,0.0,7.46,2.255748212899658,3.0,13.0,6074.0
raise_arms,sai,10,1.2331842381301616,0.3857202491318489,0.7209418820414573,2.6782161079236517,1420.7644778743145,0.0,0.0,0.0,0.0,0.0,-2.308666404001325,21.35204491934788,-37.14054833586454,65.04127263230205,392515.03814519465,0.0,0.0,0.0,0.0,0.0,9.053191489361701,1.511424727868601,5.0,12.0,7919.0
raise_arms,sai,11,1.1285268977274907,0.38157996293495466,0.5299416653937162,2.9094336592483483,1207.718969183702,0.0,0.0,0.0,0.0,0.0,7.310749968084943,21.736311823758584,-42.31987864055217,66.8527958219132,447553.0835929886,0.0,0.0,0.0,0.0,0.0,8.77319587628866,2.0684430851933118,4.0,14.0,7881.0
raise_arms,sai,12,1.2084212362627857,0.34803090721030966,0.7039922989023568,2.656287374171014,1113.3108072236553,0.0,0.0,0.0,0.0,0.0,-3.416983285496218,22.171305922367974,-36.649086415440784,62.37514257256568,354282.7770779191,0.0,0.0,0.0,0.0,0.0,8.585365853658537,1.7317073170731707,4.0,13.0,6290.0
raise_arms,sai,13,1.2554151911457117,0.3618200893053127,0.7305813280781093,2.674715117473028,1432.1571254356513,0.0,0.0,0.0,0.0,0.0,-0.4783127851128541,22.416720191003662,-32.4164306699952,59.150716708553404,421797.2887561669,0.0,0.0,0.0,0.0,0.0,8.83157894736842,1.5193671229474555,5.0,12.0,7629.0
raise_arms,sai,14,1.2453082886903555,0.3399483968408427,0.6405438601889604,2.6873880572736732,1371.4123429835468,0.0,0.0,0.0,0.0,0.0,3.333220804148525,22.870241340802274,-35.927059896390276,64.82052819889614,439612.2808306621,0.0,0.0,0.0,0.0,0.0,9.459770114942529,2.3282601550195605,4.0,16.0,8257.0
raise_arms,sai,15,1.233662256821237,0.3434144542250415,0.48997504369617945,2.6694029093678666,1367.6399467641431,0.0,0.0,0.0,0.0,0.0,5.456567868214958,20.411896555822985,-39.34415718342428,62.984312038194396,372313.9913576491,0.0,0.0,0.0,0.0,0.0,8.01923076923077,2.32867067242058,2.0,13.0,7252.0
raise_arms,sai,16,1.321032257732193,0.2948343448188434,0.6675962141455736,2.677487992890675,1511.444151404362,0.0,0.0,0.0,0.0,0.0,1.5539739223875366,23.953667882874697,-36.349478670855504,66.33335579470294,475359.25799548166,0.0,0.0,0.0,0.0,0.0,8.088235294117647,1.6574427572789012,5.0,13.0,6953.0
raise_arms,sai,17,1.2614952438779516,0.27551536812919664,0.7354832535822795,2.658663640146373,880.3232953162876,0.0,0.0,0.0,0.0,0.0,1.1509816422573411,23.77324026903615,-38.07655108518947,58.36630217515605,299107.6237407115,0.0,0.0,0.0,0.0,0.0,6.857142857142857,1.4657499805784964,4.0,12.0,3786.0
