timestamp_ms,distance_cm
58265.99999994505,63.0
58280.99999995902,57.0
58297.00000002049,58.0
58312.99999996554,58.0
58344.00000004098,56.0
58359.99999998603,58.0
58375.0,60.0
58390.99999994505,61.0
58422.00000002049,57.0
58437.99999996554,60.0
58452.99999997951,65.0
58484.99999998603,62.0
58500.0,64.0
58515.99999994505,55.0
58530.99999995902,52.0
58562.99999996554,57.0
58577.99999997951,55.0
58594.00000004098,57.0
58625.0,61.0
58640.99999994505,63.0
58655.99999995902,64.0
58672.00000002049,64.0
58702.99999997951,63.0
58719.00000004098,46.0
58750.0,46.0
58765.99999994505,44.0
58780.99999995902,47.0
58797.00000002049,45.0
58827.99999997951,39.0
58844.00000004098,37.0
58859.99999998603,35.0
58875.0,34.0
58905.99999995902,28.0
58922.00000002049,24.0
58937.99999996554,35.0
58952.99999997951,34.0
58984.99999998603,35.0
59000.0,41.0
59015.99999994505,42.0
59047.00000002049,53.0
59062.99999996554,55.0
59077.99999997951,59.0
59109.99999998603,62.0
59125.0,71.0
59140.99999994505,72.0
59155.99999995902,76.0
59187.99999996554,80.0
59202.99999997951,88.0
59219.00000004098,90.0
59250.0,95.0
59265.99999994505,97.0
59280.99999995902,104.0
59297.00000002049,114.0
59327.99999997951,115.0
59344.00000004098,115.0
59359.99999998603,111.0
59390.99999994505,119.0
59405.99999995902,127.0
59422.00000002049,125.0
59437.99999996554,130.0
59469.00000004098,131.0
59484.99999998603,132.0
59500.0,136.0
59530.99999995902,137.0
59547.00000002049,141.0
59562.99999996554,139.0
59577.99999997951,145.0
59609.99999998603,150.0
59625.0,146.0
59640.99999994505,144.0
59672.00000002049,145.0
59687.99999996554,143.0
59702.99999997951,148.0
59719.00000004098,143.0
59750.0,145.0
59765.99999994505,143.0
59780.99999995902,148.0
59797.00000002049,143.0
59827.99999997951,149.0
59844.00000004098,149.0
59859.99999998603,146.0
59890.99999994505,145.0
59905.99999995902,144.0
59922.00000002049,144.0
59937.99999996554,151.0
59969.00000004098,144.0
59984.99999998603,143.0
60000.0,145.0
60030.99999995902,143.0
60047.00000002049,142.0
60062.99999996554,144.0
60077.99999997951,141.0
60109.99999998603,146.0
60125.0,147.0
60140.99999994505,150.0
60172.00000002049,146.0
60187.99999996554,142.0
60202.99999997951,144.0
60219.00000004098,140.0
60250.0,137.0
60265.99999994505,134.0
60280.99999995902,132.0
60297.00000002049,129.0
60327.99999997951,130.0
60344.00000004098,124.0
60359.99999998603,120.0
60390.99999994505,112.0
60405.99999995902,111.0
60422.00000002049,110.0
60437.99999996554,106.0
60469.00000004098,101.0
60484.99999998603,99.0
60500.0,95.0
60530.99999995902,91.0
60547.00000002049,86.0
60562.99999996554,78.0
60577.99999997951,69.0
60609.99999998603,76.0
60625.0,70.0
60640.99999994505,65.0
60672.00000002049,71.0
60687.99999996554,61.0
60702.99999997951,51.0
60719.00000004098,54.0
60750.0,50.0
60765.99999994505,50.0
60780.99999995902,48.0
60797.00000002049,44.0
60827.99999997951,56.0
60844.00000004098,48.0
60859.99999998603,49.0
60890.99999994505,51.0
60905.99999995902,52.0
60922.00000002049,43.0
60937.99999996554,37.0
60969.00000004098,28.0
60984.99999998603,39.0
61000.0,43.0
61030.99999995902,38.0
61047.00000002049,39.0
61062.99999996554,42.0
61077.99999997951,39.0
61109.99999998603,37.0
61125.0,39.0
61140.99999994505,44.0
61172.00000002049,39.0
61187.99999996554,35.0
61202.99999997951,33.0
61219.00000004098,36.0
61250.0,34.0
