timestamp_ms,distance_cm
902625.0,65.0
902655.999999959,64.0
902670.999999973,68.0
902687.0000000345,68.0
902702.9999999795,73.0
902734.000000055,82.0
902750.0,95.0
902765.000000014,92.0
902780.999999959,98.0
902812.0000000345,92.0
902827.9999999795,100.0
902842.9999999935,104.0
902875.0,101.0
902890.000000014,103.0
902905.999999959,123.0
902920.999999973,98.0
902952.9999999795,106.0
902967.9999999935,109.0
902984.000000055,123.0
903015.000000014,133.0
903030.999999959,152.0
903045.999999973,128.0
903062.0000000345,234.0
903092.9999999935,232.0
903109.000000055,142.0
903125.0,146.0
903155.999999959,155.0
903170.999999973,253.0
903187.0000000345,225.0
903202.9999999795,152.0
903234.000000055,160.0
903250.0,241.0
903265.000000014,151.0
903295.999999973,159.0
903312.0000000345,153.0
903327.9999999795,156.0
903342.9999999935,155.0
903375.0,152.0
903390.000000014,147.0
903405.999999959,154.0
903420.999999973,148.0
903452.9999999795,141.0
903467.9999999935,137.0
903484.000000055,134.0
903515.000000014,137.0
903530.999999959,132.0
903545.999999973,127.0
903562.0000000345,119.0
903592.9999999935,117.0
903609.000000055,114.0
903625.0,114.0
903655.999999959,107.0
903670.999999973,107.0
903687.0000000345,104.0
903702.9999999795,103.0
903734.000000055,94.0
903750.0,92.0
903765.000000014,84.0
903780.999999959,84.0
903812.0000000345,78.0
903827.9999999795,76.0
903842.9999999935,75.0
903875.0,72.0
903890.000000014,66.0
903905.999999959,66.0
903920.999999973,65.0
903952.9999999795,62.0
903967.9999999935,66.0
903984.000000055,64.0
904015.000000014,61.0
904030.999999959,59.0
904045.999999973,60.0
904062.0000000345,86.0
904092.9999999935,55.0
904109.000000055,56.0
904125.0,61.0
904155.999999959,62.0
904170.999999973,86.0
904187.0000000345,52.0
904202.9999999795,61.0
904234.000000055,58.0
904250.0,54.0
904265.000000014,65.0
904280.999999959,64.0
904312.0000000345,62.0
904327.9999999795,63.0
904342.9999999935,69.0
904375.0,63.0
904390.000000014,74.0
904405.999999959,69.0
904420.999999973,89.0
904452.9999999795,87.0
904467.9999999935,93.0
904484.000000055,99.0
904515.000000014,103.0
904530.999999959,112.0
904545.999999973,115.0
904562.0000000345,125.0
904592.9999999935,122.0
904609.000000055,132.0
904625.0,139.0
904655.999999959,151.0
904670.999999973,155.0
904687.0000000345,166.0
904702.9999999795,168.0
904734.000000055,174.0
904750.0,181.0
904765.000000014,163.0
904795.999999973,173.0
904812.0000000345,186.0
904827.9999999795,178.0
904842.9999999935,170.0
904875.0,178.0
904890.000000014,248.0
904905.999999959,178.0
904920.999999973,178.0
904952.9999999795,182.0
904967.9999999935,185.0
904984.000000055,183.0
905015.000000014,187.0
905030.999999959,187.0
905045.999999973,183.0
905062.0000000345,184.0
905092.9999999935,180.0
905109.000000055,178.0
905125.0,178.0
905155.999999959,177.0
905170.999999973,171.0
905187.0000000345,172.0
905202.9999999795,173.0
905234.000000055,182.0
905250.0,182.0
905265.000000014,185.0
905295.999999973,182.0
905312.0000000345,183.0
905327.9999999795,184.0
905342.9999999935,185.0
905375.0,185.0
905390.000000014,185.0
905405.999999959,185.0
905420.999999973,180.0
905452.9999999795,182.0
905467.9999999935,183.0
905484.000000055,180.0
905515.000000014,178.0
905530.999999959,171.0
905545.999999973,173.0
905562.0000000345,178.0
905592.9999999935,178.0
905609.000000055,183.0
905625.0,184.0
